text,category,priority,location
Unauthorized construction blocking Begumpet road.,Roads,Medium,Begumpet
several street lights off on near railway station road for 3 months.,Street Lighting,Medium,near railway station
Main water pipe burst on Bhagath Singh Nagar road causing wastage.,Water Supply,Medium,Bhagath Singh Nagar
water is not supplied for 5 days and people are suffering.,Water Supply,Medium,Dilsukhnagar
Water meter damaged in near school colony.,Water Supply,Low,near school
Pipeline leakage causing water logging in Rajampet.,Water Supply,Critical,Rajampet
High voltage sparks from wire near Bose Nagar.,Electricity,Critical,Bose Nagar
street dogs attacking due to garbage at ward 5.,Sanitation,Medium,Ward 5
Main water pipe burst on near government hospital road causing wastage!,Water Supply,Medium,near government hospital
New colony near railway station not provided with street lights.,Street Lighting,Medium,near railway station
Bridge on Patel Nagar road is damaged and unsafe.,Roads,High,Patel Nagar
Fuse box damaged in Nehru Colony locality.,Electricity,Medium,Nehru Colony
dead animals lying on road in begumpet creating health hazard.,Sanitation,High,Begumpet
new colony ward 12 not provided with street lights.,Street Lighting,Medium,Ward 12
Road surface broken in RTC Bus Stand after heavy rain!,Roads,Medium,RTC Bus Stand
Drainage water entering homes in Old Town.,Drainage,High,Old Town
Vandalism of street light in MG Road colony.,Street Lighting,Medium,MG Road
sweeper has not visited ramaiah street for 15 days.,Sanitation,Medium,Ramaiah Street
Construction debris not removed from Begumpet for yesterday.,Sanitation,Medium,Begumpet
electricity bill is incorrect for connection in lakshmi puram.,Electricity,Medium,Lakshmi Puram
Construction debris not removed from Ramaiah Street for 3 days.,Sanitation,Medium,Ramaiah Street
Flickering street light near Nehru Colony disturbing residents!,Street Lighting,Low,Nehru Colony
stretch of road near LB Nagar is damaged and dangerous.,Roads,High,LB Nagar
water standing in station road for yesterday due to poor drainage.,Drainage,Medium,Station Road
Electric pole damaged near Srinivasa Nagar road!,Electricity,Medium,Srinivasa Nagar
The pipeline near Anna Nagar is leaking and water is wasted.,Water Supply,Medium,Anna Nagar
Electricity supply disrupted for since last month in ECIL.,Electricity,Medium,ECIL
Solar street lights not working in Ameerpet for more than a week!,Street Lighting,Medium,Ameerpet
speed breaker missing near school in gandhi nagar.,Roads,Medium,Gandhi Nagar
There is no electricity supply in Anna Nagar since more than a week.,Electricity,High,Anna Nagar
main road in srinivasa nagar is waterlogged after rain.,Roads,Medium,Srinivasa Nagar
Open drain in Ward 7 causing mosquito breeding!,Drainage,Low,Ward 7
New streets in Kukatpally have no street light installed.,Street Lighting,Medium,Kukatpally
Public water tap not working in New Town for Monday.,Water Supply,Medium,New Town
Transformer noise disturbing residents of Ameerpet.,Electricity,Low,Ameerpet
Road construction incomplete in Dilsukhnagar for 4 days.,Roads,Medium,Dilsukhnagar
Garbage pile near Bhagath Singh Nagar hospital entrance.,Sanitation,High,Bhagath Singh Nagar
Women feel unsafe walking on Begumpet due to no street lights!,Street Lighting,Medium,Begumpet
Vandalism of street light in Gandhi Nagar colony.,Street Lighting,Medium,Gandhi Nagar
Drainage canal blocked near Ameerpet bridge!,Drainage,Medium,Ameerpet
No sanitation service in our locality in Gandhi Nagar.,Sanitation,Medium,Gandhi Nagar
Road repair needed urgently in Himayatnagar.,Roads,Medium,Himayatnagar
Garbage bins in Jubilee Hills are overflowing.,Sanitation,High,Jubilee Hills
Main drain in Market Area blocked after heavy rain.,Drainage,Medium,Market Area
Traffic island on ECIL road is broken.,Roads,Medium,ECIL
Garbage truck route skipping New Town area.,Sanitation,Medium,New Town
Rainwater harvesting pit blocked near Himayatnagar.,Drainage,Medium,Himayatnagar
Industrial waste illegally dumped near MG Road.,Sanitation,Medium,MG Road
Nala near Anna Nagar encroached blocking water flow!,Drainage,Medium,Anna Nagar
water supply is interrupted daily in begumpet.,Water Supply,Medium,Begumpet
Open garbage dumped near Rajampet park.,Sanitation,Medium,Rajampet
Drain not cleaned before monsoon in Anna Nagar.,Drainage,Low,Anna Nagar
road repair needed urgently in near school.,Roads,Medium,near school
Unhygienic conditions in Ward 5 market due to garbage.,Sanitation,Medium,Ward 5
Manhole open in Uppal road is dangerous.,Drainage,Medium,Uppal
drain not cleaned before monsoon in main junction.,Drainage,Low,main junction
Road divider broken on Anna Nagar highway.,Roads,Medium,Anna Nagar
Street lights on Bhagath Singh Nagar road are dim and not enough.,Street Lighting,Medium,Bhagath Singh Nagar
Water supply is interrupted daily in Ward 5.,Water Supply,Medium,Ward 5
No sanitation service in our locality in Uppal.,Sanitation,Medium,Uppal
No water coming from tap for Monday in Lakshmi Puram!,Water Supply,High,Lakshmi Puram
Garbage pile near Nehru Colony hospital entrance!,Sanitation,High,Nehru Colony
accidents happening on kukatpally road due to no lighting.,Street Lighting,High,Kukatpally
Main drain in Begumpet blocked after heavy rain.,Drainage,Medium,Begumpet
Footpath damaged near LB Nagar causing inconvenience.,Roads,Low,LB Nagar
Sewage water on road in Old Town creating unhygienic conditions!,Drainage,Medium,Old Town
Solar street lights not working in Ameerpet for yesterday!,Street Lighting,Medium,Ameerpet
High voltage sparks from wire near Begumpet.,Electricity,Critical,Begumpet
Street dogs attacking due to garbage at Bose Nagar.,Sanitation,Medium,Bose Nagar
Sewer line broken near Ward 7 causing leakage.,Drainage,Medium,Ward 7
Damaged street light post on Lakshmi Puram road.,Street Lighting,Medium,Lakshmi Puram
Irregular water supply in Kukatpally residential area.,Water Supply,Medium,Kukatpally
New electricity connection not provided in Dilsukhnagar for a month.,Electricity,Medium,Dilsukhnagar
main road in indira nagar is waterlogged after rain.,Roads,Medium,Indira Nagar
Drain near near railway station is blocked and water is overflowing.,Drainage,Medium,near railway station
Electricity supply disrupted for 1 week in Dilsukhnagar!,Electricity,Medium,Dilsukhnagar
Drain near Bhagath Singh Nagar is blocked and water is overflowing!,Drainage,Medium,Bhagath Singh Nagar
drainage water entering homes in uppal.,Drainage,High,Uppal
High voltage sparks from wire near outer ring road!,Electricity,Critical,outer ring road
Solid waste management failure in ECIL ward!,Sanitation,Medium,ECIL
women feel unsafe walking on srinivasa nagar due to no street lights.,Street Lighting,Medium,Srinivasa Nagar
Road markings faded on Dilsukhnagar road posing danger.,Roads,Low,Dilsukhnagar
Main drain in Ward 5 blocked after heavy rain.,Drainage,Medium,Ward 5
Street lights not working in Indira Nagar for a month!,Street Lighting,Medium,Indira Nagar
Several street lights off on Ward 5 road for 3 days!,Street Lighting,Medium,Ward 5
Garbage pile near Bose Nagar hospital entrance.,Sanitation,High,Bose Nagar
Bridge on Kukatpally road is damaged and unsafe!,Roads,High,Kukatpally
septic tank overflow in dilsukhnagar colony.,Drainage,Medium,Dilsukhnagar
Industrial waste illegally dumped near Ramaiah Street.,Sanitation,Medium,Ramaiah Street
Park in Begumpet has no lighting making it unsafe.,Street Lighting,High,Begumpet
pipeline leakage causing water logging in ashok nagar.,Water Supply,Critical,Ashok Nagar
street light pole broken near rajampet.,Street Lighting,Medium,Rajampet
No sanitation service in our locality in Himayatnagar.,Sanitation,Medium,Himayatnagar
Load shedding scheduled but not notified to Ashok Nagar residents.,Electricity,Medium,Ashok Nagar
no potable water available in uppal ward.,Water Supply,Medium,Uppal
Transformer noise disturbing residents of Ramaiah Street!,Electricity,Low,Ramaiah Street
ring road near bhagath singh nagar damaged and needs resurfacing.,Roads,Medium,Bhagath Singh Nagar
Flickering street light near outer ring road disturbing residents.,Street Lighting,Low,outer ring road
Water supply is completely disrupted in our area since 7 days.,Water Supply,High,Ambedkar Nagar
Drain outlet blocked in Ameerpet causing backflow!,Drainage,Medium,Ameerpet
Electric wire hanging low on ECIL road dangerous.,Electricity,Medium,ECIL
Speed breaker missing near school in Ambedkar Nagar.,Roads,Medium,Ambedkar Nagar
Drain not cleaned in Ward 7 for 2 days causing flooding.,Drainage,High,Ward 7
drainage work done but not completed in ecil.,Drainage,Medium,ECIL
Pipeline leakage causing water logging in Nehru Colony!,Water Supply,Critical,Nehru Colony
underground drainage choked in market area for 2 weeks.,Drainage,Medium,Market Area
main water pipe burst on jubilee hills road causing wastage.,Water Supply,Medium,Jubilee Hills
vandalism of street light in begumpet colony.,Street Lighting,Medium,Begumpet
Water supply is completely disrupted in our area since a month!,Water Supply,High,near government hospital
Women feel unsafe walking on Bose Nagar due to no street lights.,Street Lighting,Medium,Bose Nagar
Damaged street light post on Old Town road.,Street Lighting,Medium,Old Town
No water coming from tap for yesterday in Himayatnagar.,Water Supply,High,Himayatnagar
Substation fault causing outage in near railway station for 2 months.,Electricity,Medium,near railway station
Nala near Himayatnagar encroached blocking water flow.,Drainage,Medium,Himayatnagar
no dustbins provided in near school market area.,Sanitation,Low,near school
New electricity connection not provided in Market Area for a month!,Electricity,Medium,Market Area
Street light cable stolen in Nehru Colony colony!,Street Lighting,Medium,Nehru Colony
Public places dirty due to no sweeping in Begumpet.,Sanitation,Medium,Begumpet
Street light pole broken near Old Town.,Street Lighting,Medium,Old Town
no water coming from tap for 1 week in near railway station.,Water Supply,High,near railway station
Sewage overflowing on road in Ameerpet.,Drainage,High,Ameerpet
Drainage work done but not completed in RTC Bus Stand.,Drainage,Medium,RTC Bus Stand
No dustbins provided in Ameerpet market area.,Sanitation,Low,Ameerpet
drainage water entering homes in bose nagar.,Drainage,High,Bose Nagar
Dustbin near Lakshmi Puram is full and not cleared for 5 days!,Sanitation,Medium,Lakshmi Puram
Road condition in main junction is very bad due to potholes!,Roads,Medium,main junction
open drain in begumpet causing mosquito breeding.,Drainage,Low,Begumpet
water contamination noticed in lb nagar supply.,Water Supply,Critical,LB Nagar
Street lamp broken near Market Area school.,Street Lighting,Medium,Market Area
Road condition in Lakshmi Puram is very bad due to potholes.,Roads,Medium,Lakshmi Puram
littering problem on lb nagar beach area.,Sanitation,Low,LB Nagar
drainage system in ashok nagar is choked and needs cleaning.,Drainage,Medium,Ashok Nagar
Road construction incomplete in MG Road for more than a week.,Roads,Medium,MG Road
No water in Ashok Nagar apartment complex for 15 days.,Water Supply,High,Ashok Nagar
Gravel road in Ramaiah Street not paved causing dust!,Roads,Medium,Ramaiah Street
transformer blown in kukatpally area since 1 week.,Electricity,High,Kukatpally
Street lights remain ON during daytime in MG Road wasting electricity!,Street Lighting,Medium,MG Road
water logging in ramaiah street due to blocked drainage.,Drainage,Medium,Ramaiah Street
main road in lb nagar is waterlogged after rain.,Roads,Medium,LB Nagar
drain not cleaned in nehru colony for more than a week causing flooding.,Drainage,High,Nehru Colony
road markings faded on lakshmi puram road posing danger.,Roads,Low,Lakshmi Puram
Overhead cable broken and lying on road in Kukatpally.,Electricity,Medium,Kukatpally
waste segregation not done by staff in bose nagar.,Sanitation,Medium,Bose Nagar
Unauthorized construction blocking Old Town road!,Roads,Medium,Old Town
Water supply is interrupted daily in ECIL.,Water Supply,Medium,ECIL
LED street light needs replacement in Ward 12.,Street Lighting,Medium,Ward 12
Public places dirty due to no sweeping in Ward 12.,Sanitation,Medium,Ward 12
Underground drainage choked in Begumpet for 2 days.,Drainage,Medium,Begumpet
Irregular water supply in Old Town residential area.,Water Supply,Medium,Old Town
cable theft causing power outage in anna nagar.,Electricity,Medium,Anna Nagar
There is no electricity supply in main junction since yesterday.,Electricity,High,main junction
Septic tank overflow in Ameerpet colony!,Drainage,Medium,Ameerpet
road divider broken on jubilee hills highway.,Roads,Medium,Jubilee Hills
Vandalism of street light in Indira Nagar colony.,Street Lighting,Medium,Indira Nagar
Load shedding scheduled but not notified to Ambedkar Nagar residents.,Electricity,Medium,Ambedkar Nagar
Road repair needed urgently in Gandhi Nagar.,Roads,Medium,Gandhi Nagar
open defecation near dilsukhnagar because of no toilet.,Sanitation,Medium,Dilsukhnagar
Narrow road in Uppal causing traffic jams.,Roads,Low,Uppal
cable theft causing power outage in srinivasa nagar.,Electricity,Medium,Srinivasa Nagar
Garbage has not been collected in Indira Nagar for 7 days!,Sanitation,Medium,Indira Nagar
Water is not supplied for 1 week and people are suffering.,Water Supply,Medium,Ambedkar Nagar
LED street light needs replacement in Ramaiah Street.,Street Lighting,Medium,Ramaiah Street
high voltage sparks from wire near rajampet.,Electricity,Critical,Rajampet
Waste collection not done for last week in Gandhi Nagar.,Sanitation,Medium,Gandhi Nagar
Road construction incomplete in Ward 12 for Monday.,Roads,Medium,Ward 12
Water supply cut without notice in Indira Nagar area!,Water Supply,Medium,Indira Nagar
Loose electric wire on road near main junction is dangerous!,Electricity,Critical,main junction
Main road in Old Town is waterlogged after rain.,Roads,Medium,Old Town
Dead animals lying on road in Ambedkar Nagar creating health hazard!,Sanitation,High,Ambedkar Nagar
electric wire hanging low on ecil road dangerous.,Electricity,Medium,ECIL
Ring road near Ameerpet damaged and needs resurfacing.,Roads,Medium,Ameerpet
road repair needed urgently in ramaiah street.,Roads,Medium,Ramaiah Street
Electricity meter tampered in MG Road apartment.,Electricity,Medium,MG Road
Power failure in New Town since 3 months causing problems!,Electricity,High,New Town
Hand pump not working in Station Road for more than a week!,Water Supply,Medium,Station Road
Irregular water supply in Anna Nagar residential area!,Water Supply,Medium,Anna Nagar
Street lamp broken near Lakshmi Puram school.,Street Lighting,Medium,Lakshmi Puram
road construction incomplete in near railway station for 5 days.,Roads,Medium,near railway station
street lamp broken near old town school.,Street Lighting,Medium,Old Town
Drain outlet blocked in main junction causing backflow!,Drainage,Medium,main junction
New streets in Ambedkar Nagar have no street light installed.,Street Lighting,Medium,Ambedkar Nagar
No street lighting in Srinivasa Nagar causing safety issues!,Street Lighting,Medium,Srinivasa Nagar
Public water tap not working in Nehru Colony for Monday!,Water Supply,Medium,Nehru Colony
No water coming from tap for 1 week in Ramaiah Street.,Water Supply,High,Ramaiah Street
Littering problem on Ward 7 beach area.,Sanitation,Low,Ward 7
Garbage bins in Anna Nagar are overflowing!,Sanitation,High,Anna Nagar
Main water pipe burst on Ashok Nagar road causing wastage.,Water Supply,Medium,Ashok Nagar
Drainage water entering homes in Srinivasa Nagar.,Drainage,High,Srinivasa Nagar
Substation fault causing outage in Ashok Nagar for yesterday.,Electricity,Medium,Ashok Nagar
gravel road in ward 12 not paved causing dust.,Roads,Medium,Ward 12
Main water pipe burst on Ramaiah Street road causing wastage.,Water Supply,Medium,Ramaiah Street
Hand pump not working in Ward 12 for several days!,Water Supply,Medium,Ward 12
High voltage sparks from wire near Ambedkar Nagar!,Electricity,Critical,Ambedkar Nagar
Sewage water on road in Ambedkar Nagar creating unhygienic conditions.,Drainage,Medium,Ambedkar Nagar
pipeline near Indira Nagar is leaking and water is wasted.,Water Supply,Medium,Indira Nagar
Many potholes on main road in main junction causing accidents.,Roads,High,main junction
hand pump not working in bhagath singh nagar for 1 week.,Water Supply,Medium,Bhagath Singh Nagar
Dark roads in Ward 12 due to non-working street lights!,Street Lighting,High,Ward 12
Electric wire hanging low on Nehru Colony road dangerous!,Electricity,Medium,Nehru Colony
Sewage smell coming from Himayatnagar street.,Sanitation,Medium,Himayatnagar
Ring road near Dilsukhnagar damaged and needs resurfacing!,Roads,Medium,Dilsukhnagar
Waste collection not done for 7 days in Uppal.,Sanitation,Medium,Uppal
Vandalism of street light in Anna Nagar colony.,Street Lighting,Medium,Anna Nagar
New colony Bose Nagar not provided with street lights!,Street Lighting,Medium,Bose Nagar
Bridge on LB Nagar road is damaged and unsafe.,Roads,High,LB Nagar
waste segregation not done by staff in nehru colony.,Sanitation,Medium,Nehru Colony
Ring road near Begumpet damaged and needs resurfacing.,Roads,Medium,Begumpet
Road near Patel Nagar has large cracks and is sinking.,Roads,High,Patel Nagar
waste burning happening near srinivasa nagar affecting air quality.,Sanitation,Medium,Srinivasa Nagar
Water not coming from Monday.,Water Supply,High,near railway station
Water not coming from last week.,Water Supply,High,Ward 12
Water meter damaged in Station Road colony.,Water Supply,Low,Station Road
traffic island on main junction road is broken.,Roads,Medium,main junction
Our entire street has been without water since yesterday.,Water Supply,Medium,New Town
Electric wire hanging low on Patel Nagar road dangerous!,Electricity,Medium,Patel Nagar
Dustbin near Ashok Nagar is full and not cleared for 5 days.,Sanitation,Medium,Ashok Nagar
Transformer blown in Ameerpet area since 5 days!,Electricity,High,Ameerpet
Hand pump not working in Dilsukhnagar for 3 months.,Water Supply,Medium,Dilsukhnagar
Nala near Ward 12 encroached blocking water flow.,Drainage,Medium,Ward 12
footpath damaged near nehru colony causing inconvenience.,Roads,Low,Nehru Colony
pipeline leakage causing water logging in jubilee hills.,Water Supply,Critical,Jubilee Hills
Water supply is interrupted daily in Ramaiah Street.,Water Supply,Medium,Ramaiah Street
Low water pressure in main junction for the past Monday.,Water Supply,Medium,main junction
underground drainage choked in new town for 3 months.,Drainage,Medium,New Town
Water supply cut without notice in Ameerpet area.,Water Supply,Medium,Ameerpet
Drinking water pipeline broken near Old Town!,Water Supply,High,Old Town
nala near rajampet encroached blocking water flow.,Drainage,Medium,Rajampet
Narrow road in Jubilee Hills causing traffic jams.,Roads,Low,Jubilee Hills
Drainage canal blocked near Dilsukhnagar bridge.,Drainage,Medium,Dilsukhnagar
Construction debris not removed from Market Area for 3 months!,Sanitation,Medium,Market Area
High voltage sparks from wire near ECIL.,Electricity,Critical,ECIL
Electric pole damaged near Patel Nagar road.,Electricity,Medium,Patel Nagar
Drain not cleaned in Station Road for several days causing flooding.,Drainage,High,Station Road
Industrial waste illegally dumped near main junction.,Sanitation,Medium,main junction
Loose electric wire on road near Dilsukhnagar is dangerous.,Electricity,Critical,Dilsukhnagar
waste burning happening near nehru colony affecting air quality.,Sanitation,Medium,Nehru Colony
High voltage sparks from wire near Uppal.,Electricity,Critical,Uppal
Pipeline leakage causing water logging in Bose Nagar.,Water Supply,Critical,Bose Nagar
Septic tank overflow in New Town colony!,Drainage,Medium,New Town
Hand pump not working in near railway station for last Tuesday.,Water Supply,Medium,near railway station
Pipeline leakage causing water logging in Lakshmi Puram.,Water Supply,Critical,Lakshmi Puram
pipeline leakage causing water logging in mg road.,Water Supply,Critical,MG Road
Street light timer malfunction in Indira Nagar ward.,Street Lighting,Low,Indira Nagar
Sewage water mixing with drinking water in Ameerpet.,Water Supply,Medium,Ameerpet
waste burning happening near station road affecting air quality.,Sanitation,Medium,Station Road
sewage pumping station failed in ambedkar nagar.,Drainage,Medium,Ambedkar Nagar
Drain not cleaned before monsoon in Patel Nagar!,Drainage,Low,Patel Nagar
Open defecation near near school because of no toilet.,Sanitation,Medium,near school
Electricity supply disrupted for 1 week in Jubilee Hills.,Electricity,Medium,Jubilee Hills
Power supply cut without prior notice in near school.,Electricity,Medium,near school
The road near Srinivasa Nagar has too many potholes.,Roads,Medium,Srinivasa Nagar
Bridge on Station Road road is damaged and unsafe.,Roads,High,Station Road
Electricity bill is incorrect for connection in Uppal.,Electricity,Medium,Uppal
power disruption causing losses to businesses in anna nagar.,Electricity,Medium,Anna Nagar
street light near ameerpet is not functioning since 3 months.,Street Lighting,Medium,Ameerpet
Electricity supply disrupted for 10 days in Patel Nagar.,Electricity,Medium,Patel Nagar
new colony uppal not provided with street lights.,Street Lighting,Medium,Uppal
No light near Ameerpet bus stop causing issues.,Street Lighting,Medium,Ameerpet
Electricity restored but flickering continuously in Begumpet!,Electricity,Medium,Begumpet
Bio-medical waste dumped near Kukatpally road!,Sanitation,High,Kukatpally
Road divider broken on Jubilee Hills highway!,Roads,Medium,Jubilee Hills
Frequent power outages in Jubilee Hills colony.,Electricity,Medium,Jubilee Hills
open defecation near near school because of no toilet.,Sanitation,Medium,near school
water is not supplied for a month and people are suffering.,Water Supply,Medium,Anna Nagar
The road near Indira Nagar has too many potholes.,Roads,Medium,Indira Nagar
many potholes on the main road in patel nagar causing accidents.,Roads,High,Patel Nagar
power supply quality poor with low voltage in ramaiah street.,Electricity,Medium,Ramaiah Street
flooding in lb nagar due to inadequate drainage.,Drainage,High,LB Nagar
Rainwater harvesting pit blocked near main junction.,Drainage,Medium,main junction
Littering problem on Nehru Colony beach area.,Sanitation,Low,Nehru Colony
no street lighting in old town causing safety issues.,Street Lighting,Medium,Old Town
Street light near main junction is not functioning since yesterday!,Street Lighting,Medium,main junction
Rainwater harvesting pit blocked near Jubilee Hills.,Drainage,Medium,Jubilee Hills
road excavation by contractor in ecil not restored.,Roads,Medium,ECIL
overhead cable broken and lying on road in rtc bus stand.,Electricity,Medium,RTC Bus Stand
Hand pump not working in Anna Nagar for 5 days!,Water Supply,Medium,Anna Nagar
Waste burning happening near Ashok Nagar affecting air quality!,Sanitation,Medium,Ashok Nagar
Garbage has not been collected in New Town for 3 months.,Sanitation,Medium,New Town
Dark roads in main junction due to non-working street lights!,Street Lighting,High,main junction
Pipeline leakage causing water logging in Ambedkar Nagar!,Water Supply,Critical,Ambedkar Nagar
Electric pole damaged near Ward 7 road!,Electricity,Medium,Ward 7
Women feel unsafe walking on Kukatpally due to no street lights.,Street Lighting,Medium,Kukatpally
Flooding in Ameerpet due to inadequate drainage.,Drainage,High,Ameerpet
No potable water available in New Town ward.,Water Supply,Medium,New Town
Several street lights off on near school road for 3 days.,Street Lighting,Medium,near school
Public toilet near near school is very dirty and needs cleaning.,Sanitation,Medium,near school
Drainage water entering homes in Ameerpet.,Drainage,High,Ameerpet
Footpath damaged near Ward 7 causing inconvenience!,Roads,Low,Ward 7
public water tap not working in rtc bus stand for 2 days.,Water Supply,Medium,RTC Bus Stand
Hand pump not working in Gandhi Nagar for several days.,Water Supply,Medium,Gandhi Nagar
Power cuts happening frequently in Station Road!,Electricity,Medium,Station Road
Open sewer near Himayatnagar market causing health risk!,Drainage,Medium,Himayatnagar
Drain not cleaned before monsoon in Ward 5!,Drainage,Low,Ward 5
new colony srinivasa nagar not provided with street lights.,Street Lighting,Medium,Srinivasa Nagar
Water standing in Srinivasa Nagar for 15 days due to poor drainage.,Drainage,Medium,Srinivasa Nagar
meter not working properly at dilsukhnagar.,Electricity,Low,Dilsukhnagar
Solar street lights not working in Himayatnagar for 7 days!,Street Lighting,Medium,Himayatnagar
Drinking water pipeline broken near Begumpet.,Water Supply,High,Begumpet
Garbage pile near Ameerpet hospital entrance!,Sanitation,High,Ameerpet
Several street lights off on outer ring road road for since last month.,Street Lighting,Medium,outer ring road
Electric pole damaged near Station Road road.,Electricity,Medium,Station Road
Cable theft causing power outage in MG Road.,Electricity,Medium,MG Road
Street lights remain ON during daytime in Nehru Colony wasting electricity.,Street Lighting,Medium,Nehru Colony
New colony Bhagath Singh Nagar not provided with street lights!,Street Lighting,Medium,Bhagath Singh Nagar
Road condition in Ramaiah Street is very bad due to potholes.,Roads,Medium,Ramaiah Street
Side road in Market Area flooded due to poor drainage.,Roads,Medium,Market Area
Nala near Ameerpet encroached blocking water flow.,Drainage,Medium,Ameerpet
public places dirty due to no sweeping in market area.,Sanitation,Medium,Market Area
Street lights remain ON during daytime in Market Area wasting electricity.,Street Lighting,Medium,Market Area
Sewage pumping station failed in Patel Nagar!,Drainage,Medium,Patel Nagar
there is no electricity supply in ameerpet since 1 week.,Electricity,High,Ameerpet
Electricity meter tampered in Bose Nagar apartment.,Electricity,Medium,Bose Nagar
Water is not supplied for yesterday and people are suffering!,Water Supply,Medium,New Town
Irregular water supply in Station Road residential area.,Water Supply,Medium,Station Road
Traffic island on Nehru Colony road is broken!,Roads,Medium,Nehru Colony
drainage work done but not completed in indira nagar.,Drainage,Medium,Indira Nagar
Ring road near Lakshmi Puram damaged and needs resurfacing!,Roads,Medium,Lakshmi Puram
damaged street light post on old town road.,Street Lighting,Medium,Old Town
Public toilet near near railway station is very dirty and needs cleaning.,Sanitation,Medium,near railway station
Unhygienic conditions in near government hospital market due to garbage.,Sanitation,High,near government hospital
Waste burning happening near Ramaiah Street affecting air quality.,Sanitation,Medium,Ramaiah Street
power failure in ward 12 since 5 days causing problems.,Electricity,High,Ward 12
loose electric wire on road near rtc bus stand is dangerous.,Electricity,Critical,RTC Bus Stand
sewage water mixing with drinking water in kukatpally.,Water Supply,Medium,Kukatpally
Ring road near Patel Nagar damaged and needs resurfacing!,Roads,Medium,Patel Nagar
Solid waste management failure in Bose Nagar ward.,Sanitation,Medium,Bose Nagar
Road repair needed urgently in main junction.,Roads,Medium,main junction
water meter damaged in near school colony.,Water Supply,Low,near school
Rainwater harvesting pit blocked near Dilsukhnagar.,Drainage,Medium,Dilsukhnagar
drain near old town is blocked and water is overflowing.,Drainage,Medium,Old Town
Water contamination noticed in Kukatpally supply.,Water Supply,Critical,Kukatpally
water tanker not coming for more than a week to bose nagar.,Water Supply,Medium,Bose Nagar
Entire Indira Nagar area dark at night due to power failure!,Street Lighting,Medium,Indira Nagar
main water pipe burst on indira nagar road causing wastage.,Water Supply,Medium,Indira Nagar
Water contamination noticed in RTC Bus Stand supply!,Water Supply,Critical,RTC Bus Stand
Ring road near LB Nagar damaged and needs resurfacing.,Roads,Medium,LB Nagar
Street light near Ambedkar Nagar is not functioning since since last month.,Street Lighting,Medium,Ambedkar Nagar
Road excavation by contractor in outer ring road not restored.,Roads,Medium,outer ring road
Drain outlet blocked in Patel Nagar causing backflow!,Drainage,Medium,Patel Nagar
low water pressure in ward 12 for the past last tuesday.,Water Supply,Medium,Ward 12
Dustbin near Station Road is full and not cleared for since last month!,Sanitation,Medium,Station Road
Dustbin near Indira Nagar is full and not cleared for 4 days.,Sanitation,Medium,Indira Nagar
Narrow road in main junction causing traffic jams.,Roads,Low,main junction
No water in Lakshmi Puram apartment complex for 2 days.,Water Supply,High,Lakshmi Puram
septic tank overflow in uppal colony.,Drainage,Medium,Uppal
Digging work done on Ward 12 road not filled properly!,Roads,Medium,Ward 12
entire ward 7 area dark at night due to power failure.,Street Lighting,Medium,Ward 7
No light near Anna Nagar bus stop causing issues.,Street Lighting,Medium,Anna Nagar
Sewage overflowing on road in Rajampet!,Drainage,High,Rajampet
Electricity restored but flickering continuously in Jubilee Hills!,Electricity,Medium,Jubilee Hills
park in lb nagar has no lighting making it unsafe.,Street Lighting,High,LB Nagar
Unhygienic conditions in Gandhi Nagar market due to garbage.,Sanitation,Medium,Gandhi Nagar
new colony mg road not provided with street lights.,Street Lighting,Medium,MG Road
Waste burning happening near ECIL affecting air quality.,Sanitation,Medium,ECIL
Dead animals lying on road in near government hospital creating health hazard!,Sanitation,High,near government hospital
frequent power outages in main junction colony.,Electricity,Medium,main junction
Electricity bill is incorrect for connection in Ramaiah Street!,Electricity,Medium,Ramaiah Street
Bio-medical waste dumped near near government hospital road!,Sanitation,High,near government hospital
loose electric wire on road near station road is dangerous.,Electricity,Critical,Station Road
narrow road in begumpet causing traffic jams.,Roads,Low,Begumpet
low water pressure in ramaiah street for the past 5 days.,Water Supply,Medium,Ramaiah Street
No water in Ward 12 apartment complex for 5 days.,Water Supply,High,Ward 12
All street lights in Ramaiah Street area are off since Monday.,Street Lighting,Medium,Ramaiah Street
Drainage water entering homes in main junction.,Drainage,High,main junction
Loose electric wire on road near Market Area is dangerous.,Electricity,Critical,Market Area
Traffic island on Kukatpally road is broken.,Roads,Medium,Kukatpally
Pot holes in ECIL area destroying vehicles.,Roads,Medium,ECIL
No light near Old Town bus stop causing issues.,Street Lighting,Medium,Old Town
solid waste management failure in uppal ward.,Sanitation,Medium,Uppal
flooding in rajampet due to inadequate drainage.,Drainage,High,Rajampet
No potable water available in Kukatpally ward.,Water Supply,Medium,Kukatpally
New colony New Town not provided with street lights.,Street Lighting,Medium,New Town
Street light near Himayatnagar is not functioning since several days.,Street Lighting,Medium,Himayatnagar
water logging in ambedkar nagar due to blocked drainage.,Drainage,Medium,Ambedkar Nagar
transformer noise disturbing residents of himayatnagar.,Electricity,Low,Himayatnagar
electricity meter tampered in bose nagar apartment.,Electricity,Medium,Bose Nagar
Open garbage dumped near LB Nagar park.,Sanitation,Medium,LB Nagar
Traffic island on Himayatnagar road is broken.,Roads,Medium,Himayatnagar
Main drain in Anna Nagar blocked after heavy rain.,Drainage,Medium,Anna Nagar
No sanitation service in our locality in near government hospital.,Sanitation,High,near government hospital
transformer noise disturbing residents of mg road.,Electricity,Low,MG Road
